timestamp,value,classification,date
1524634200,64,Greed,25-04-2018
1524720600,47,Neutral,26-04-2018
1524807000,55,Greed,27-04-2018
1524893400,54,Neutral,28-04-2018
1524979800,61,Greed,29-04-2018
1525066200,59,Greed,30-04-2018
1525152600,56,Greed,01-05-2018
1525239000,52,Neutral,02-05-2018
1525325400,55,Greed,03-05-2018
1525411800,56,Greed,04-05-2018
1525498200,63,Greed,05-05-2018
1525584600,67,Greed,06-05-2018
1525671000,56,Greed,07-05-2018
1525757400,62,Greed,08-05-2018
1525843800,53,Neutral,09-05-2018
1525930200,63,Greed,10-05-2018
1526016600,41,Fear,11-05-2018
1526103000,44,Fear,12-05-2018
1526189400,40,Fear,13-05-2018
1526275800,40,Fear,14-05-2018
1526362200,40,Fear,15-05-2018
1526448600,32,Fear,16-05-2018
1526535000,31,Fear,17-05-2018
1526621400,37,Fear,18-05-2018
1526707800,31,Fear,19-05-2018
1526794200,32,Fear,20-05-2018
1526880600,41,Fear,21-05-2018
1526967000,30,Fear,22-05-2018
1527053400,26,Fear,23-05-2018
1527139800,27,Fear,24-05-2018
1527226200,25,Fear,25-05-2018
1527312600,23,Extreme Fear,26-05-2018
1527399000,19,Extreme Fear,27-05-2018
1527485400,22,Extreme Fear,28-05-2018
1527571800,16,Extreme Fear,29-05-2018
1527658200,38,Fear,30-05-2018
1527744600,25,Fear,31-05-2018
1527831000,24,Extreme Fear,01-06-2018
1527917400,27,Fear,02-06-2018
1528003800,40,Fear,03-06-2018
1528090200,41,Fear,04-06-2018
1528176600,26,Fear,05-06-2018
1528263000,42,Fear,06-06-2018
1528349400,38,Fear,07-06-2018
1528435800,40,Fear,08-06-2018
1528522200,39,Fear,09-06-2018
1528608600,24,Extreme Fear,10-06-2018
1528695000,15,Extreme Fear,11-06-2018
1528781400,19,Extreme Fear,12-06-2018
1528867800,19,Extreme Fear,13-06-2018
1528954200,17,Extreme Fear,14-06-2018
1529040600,26,Fear,15-06-2018
1529127000,22,Extreme Fear,16-06-2018
1529213400,23,Extreme Fear,17-06-2018
1529299800,27,Fear,18-06-2018
1529386200,32,Fear,19-06-2018
1529472600,34,Fear,20-06-2018
1529559000,37,Fear,21-06-2018
1529645400,28,Fear,22-06-2018
1529731800,17,Extreme Fear,23-06-2018
1529818200,15,Extreme Fear,24-06-2018
1529904600,16,Extreme Fear,25-06-2018
1529991000,21,Extreme Fear,26-06-2018
1530077400,18,Extreme Fear,27-06-2018
1530163800,20,Extreme Fear,28-06-2018
1530250200,16,Extreme Fear,29-06-2018
1530336600,22,Extreme Fear,30-06-2018
1530423000,27,Fear,01-07-2018
1530509400,27,Fear,02-07-2018
1530595800,31,Fear,03-07-2018
1530682200,33,Fear,04-07-2018
1530768600,37,Fear,05-07-2018
1530855000,34,Fear,06-07-2018
1530941400,34,Fear,07-07-2018
1531027800,38,Fear,08-07-2018
1531114200,39,Fear,09-07-2018
1531200600,37,Fear,10-07-2018
1531287000,29,Fear,11-07-2018
1531373400,33,Fear,12-07-2018
1531459800,29,Fear,13-07-2018
1531546200,29,Fear,14-07-2018
1531632600,32,Fear,15-07-2018
1531719000,36,Fear,16-07-2018
1531805400,39,Fear,17-07-2018
1531891800,42,Fear,18-07-2018
1531978200,44,Fear,19-07-2018
1532064600,47,Neutral,20-07-2018
1532151000,43,Fear,21-07-2018
1532237400,46,Neutral,22-07-2018
1532323800,44,Fear,23-07-2018
1532410200,49,Neutral,24-07-2018
1532496600,54,Neutral,25-07-2018
1532583000,53,Neutral,26-07-2018
1532669400,47,Neutral,27-07-2018
1532755800,54,Neutral,28-07-2018
1532842200,54,Neutral,29-07-2018
1532928600,53,Neutral,30-07-2018
1533015000,48,Neutral,31-07-2018
1533101400,39,Fear,01-08-2018
1533187800,39,Fear,02-08-2018
1533274200,36,Fear,03-08-2018
1533360600,31,Fear,04-08-2018
1533447000,23,Extreme Fear,05-08-2018
1533533400,25,Fear,06-08-2018
1533619800,25,Fear,07-08-2018
1533706200,23,Extreme Fear,08-08-2018
1533792600,19,Extreme Fear,09-08-2018
1533879000,21,Extreme Fear,10-08-2018
1533965400,18,Extreme Fear,11-08-2018
1534051800,18,Extreme Fear,12-08-2018
1534138200,21,Extreme Fear,13-08-2018
1534224600,16,Extreme Fear,14-08-2018
1534311000,18,Extreme Fear,15-08-2018
1534397400,21,Extreme Fear,16-08-2018
1534483800,19,Extreme Fear,17-08-2018
1534570200,24,Extreme Fear,18-08-2018
1534656600,27,Fear,19-08-2018
1534743000,26,Fear,20-08-2018
1534829400,19,Extreme Fear,21-08-2018
1534915800,21,Extreme Fear,22-08-2018
1535002200,18,Extreme Fear,23-08-2018
1535088600,19,Extreme Fear,24-08-2018
1535175000,22,Extreme Fear,25-08-2018
1535261400,19,Extreme Fear,26-08-2018
1535347800,18,Extreme Fear,27-08-2018
1535434200,19,Extreme Fear,28-08-2018
1535520600,19,Extreme Fear,29-08-2018
1535607000,22,Extreme Fear,30-08-2018
1535693400,17,Extreme Fear,31-08-2018
1535779800,21,Extreme Fear,01-09-2018
1535866200,18,Extreme Fear,02-09-2018
1535952600,19,Extreme Fear,03-09-2018
1536039000,26,Fear,04-09-2018
1536125400,17,Extreme Fear,05-09-2018
1536211800,14,Extreme Fear,06-09-2018
1536298200,17,Extreme Fear,07-09-2018
1536384600,18,Extreme Fear,08-09-2018
1536471000,13,Extreme Fear,09-09-2018
1536557400,15,Extreme Fear,10-09-2018
1536643800,18,Extreme Fear,11-09-2018
1536730200,14,Extreme Fear,12-09-2018
1536816600,20,Extreme Fear,13-09-2018
1536903000,23,Extreme Fear,14-09-2018
1536989400,24,Extreme Fear,15-09-2018
1537075800,28,Fear,16-09-2018
1537162200,25,Fear,17-09-2018
1537248600,21,Extreme Fear,18-09-2018
1537335000,24,Extreme Fear,19-09-2018
1537421400,24,Extreme Fear,20-09-2018
1537507800,31,Fear,21-09-2018
1537594200,35,Fear,22-09-2018
1537680600,38,Fear,23-09-2018
1537767000,43,Fear,24-09-2018
1537853400,37,Fear,25-09-2018
1537939800,37,Fear,26-09-2018
1538026200,42,Fear,27-09-2018
1538112600,42,Fear,28-09-2018
1538199000,37,Fear,29-09-2018
1538285400,34,Fear,30-09-2018
1538371800,35,Fear,01-10-2018
1538458200,33,Fear,02-10-2018
1538544600,36,Fear,03-10-2018
1538631000,29,Fear,04-10-2018
1538717400,37,Fear,05-10-2018
1538803800,34,Fear,06-10-2018
1538890200,29,Fear,07-10-2018
1538976600,26,Fear,08-10-2018
1539063000,31,Fear,09-10-2018
1539149400,28,Fear,10-10-2018
1539235800,19,Extreme Fear,11-10-2018
1539322200,13,Extreme Fear,12-10-2018
1539408600,15,Extreme Fear,13-10-2018
1539495000,18,Extreme Fear,14-10-2018
1539581400,20,Extreme Fear,15-10-2018
1539667800,24,Extreme Fear,16-10-2018
1539754200,23,Extreme Fear,17-10-2018
1539840600,26,Fear,18-10-2018
1539927000,24,Extreme Fear,19-10-2018
1540013400,21,Extreme Fear,20-10-2018
1540099800,21,Extreme Fear,21-10-2018
1540186200,27,Fear,22-10-2018
1540272600,24,Extreme Fear,23-10-2018
1540359000,23,Extreme Fear,24-10-2018
1540445400,25,Fear,25-10-2018
1540531800,29,Fear,26-10-2018
1540618200,33,Fear,27-10-2018
1540704600,35,Fear,28-10-2018
1540791000,34,Fear,29-10-2018
1540877400,31,Fear,30-10-2018
1540963800,32,Fear,31-10-2018
1541050200,29,Fear,01-11-2018
1541136600,36,Fear,02-11-2018
1541223000,36,Fear,03-11-2018
1541309400,41,Fear,04-11-2018
1541395800,42,Fear,05-11-2018
1541482200,42,Fear,06-11-2018
1541568600,48,Neutral,07-11-2018
1541655000,51,Neutral,08-11-2018
1541741400,47,Neutral,09-11-2018
1541827800,52,Neutral,10-11-2018
1541914200,54,Neutral,11-11-2018
1542000600,52,Neutral,12-11-2018
1542087000,56,Greed,13-11-2018
1542173400,49,Neutral,14-11-2018
1542259800,28,Fear,15-11-2018
1542346200,23,Extreme Fear,16-11-2018
1542432600,24,Extreme Fear,17-11-2018
1542519000,26,Fear,18-11-2018
1542605400,28,Fear,19-11-2018
1542691800,21,Extreme Fear,20-11-2018
1542778200,15,Extreme Fear,21-11-2018
1542864600,14,Extreme Fear,22-11-2018
1542951000,12,Extreme Fear,23-11-2018
1543037400,15,Extreme Fear,24-11-2018
1543123800,9,Extreme Fear,25-11-2018
1543210200,17,Extreme Fear,26-11-2018
1543296600,11,Extreme Fear,27-11-2018
1543383000,14,Extreme Fear,28-11-2018
1543469400,18,Extreme Fear,29-11-2018
1543555800,19,Extreme Fear,30-11-2018
1543642200,13,Extreme Fear,01-12-2018
1543728600,15,Extreme Fear,02-12-2018
1543815000,17,Extreme Fear,03-12-2018
1543901400,12,Extreme Fear,04-12-2018
1543987800,19,Extreme Fear,05-12-2018
1544074200,13,Extreme Fear,06-12-2018
1544160600,11,Extreme Fear,07-12-2018
1544247000,11,Extreme Fear,08-12-2018
1544333400,14,Extreme Fear,09-12-2018
1544419800,19,Extreme Fear,10-12-2018
1544506200,15,Extreme Fear,11-12-2018
1544592600,14,Extreme Fear,12-12-2018
1544679000,14,Extreme Fear,13-12-2018
1544765400,10,Extreme Fear,14-12-2018
1544851800,11,Extreme Fear,15-12-2018
1544938200,13,Extreme Fear,16-12-2018
1545024600,17,Extreme Fear,17-12-2018
1545111000,23,Extreme Fear,18-12-2018
1545197400,21,Extreme Fear,19-12-2018
1545283800,27,Fear,20-12-2018
1545370200,35,Fear,21-12-2018
1545456600,28,Fear,22-12-2018
1545543000,31,Fear,23-12-2018
1545629400,25,Fear,24-12-2018
1545715800,33,Fear,25-12-2018
1545802200,26,Fear,26-12-2018
1545888600,29,Fear,27-12-2018
1545975000,21,Extreme Fear,28-12-2018
1546061400,24,Extreme Fear,29-12-2018
1546147800,23,Extreme Fear,30-12-2018
1546234200,26,Fear,31-12-2018
1546320600,24,Extreme Fear,01-01-2019
1546407000,30,Fear,02-01-2019
1546493400,33,Fear,03-01-2019
1546579800,48,Neutral,04-01-2019
1546666200,36,Fear,05-01-2019
1546752600,31,Fear,06-01-2019
1546839000,39,Fear,07-01-2019
1546925400,39,Fear,08-01-2019
1547011800,42,Fear,09-01-2019
1547098200,37,Fear,10-01-2019
1547184600,19,Extreme Fear,11-01-2019
1547271000,22,Extreme Fear,12-01-2019
1547357400,21,Extreme Fear,13-01-2019
1547443800,16,Extreme Fear,14-01-2019
1547530200,27,Fear,15-01-2019
1547616600,24,Extreme Fear,16-01-2019
1547703000,28,Fear,17-01-2019
1547789400,29,Fear,18-01-2019
1547875800,31,Fear,19-01-2019
1547962200,35,Fear,20-01-2019
1548048600,30,Fear,21-01-2019
1548135000,27,Fear,22-01-2019
1548221400,33,Fear,23-01-2019
1548307800,37,Fear,24-01-2019
1548394200,35,Fear,25-01-2019
1548480600,41,Fear,26-01-2019
1548567000,39,Fear,27-01-2019
1548653400,35,Fear,28-01-2019
1548739800,21,Extreme Fear,29-01-2019
1548826200,22,Extreme Fear,30-01-2019
1548912600,17,Extreme Fear,31-01-2019
1548999000,23,Extreme Fear,01-02-2019
1549085400,22,Extreme Fear,02-02-2019
1549171800,19,Extreme Fear,03-02-2019
1549258200,27,Fear,04-02-2019
1549344600,21,Extreme Fear,05-02-2019
1549431000,14,Extreme Fear,06-02-2019
1549517400,18,Extreme Fear,07-02-2019
1549603800,37,Fear,08-02-2019
1549690200,42,Fear,09-02-2019
1549776600,40,Fear,10-02-2019
1549863000,46,Neutral,11-02-2019
1549949400,38,Fear,12-02-2019
1550035800,48,Neutral,13-02-2019
1550122200,48,Neutral,14-02-2019
1550208600,43,Fear,15-02-2019
1550295000,43,Fear,16-02-2019
1550381400,38,Fear,17-02-2019
1550467800,63,Greed,18-02-2019
1550554200,65,Greed,19-02-2019
1550640600,59,Greed,20-02-2019
1550727000,59,Greed,21-02-2019
1550813400,61,Greed,22-02-2019
1550899800,63,Greed,23-02-2019
1550986200,69,Greed,24-02-2019
1551072600,47,Neutral,25-02-2019
1551159000,40,Fear,26-02-2019
1551245400,39,Fear,27-02-2019
1551331800,39,Fear,28-02-2019
1551418200,42,Fear,01-03-2019
1551504600,41,Fear,02-03-2019
1551591000,44,Fear,03-03-2019
1551677400,36,Fear,04-03-2019
1551763800,35,Fear,05-03-2019
1551850200,42,Fear,06-03-2019
1551936600,56,Greed,07-03-2019
1552023000,54,Neutral,08-03-2019
1552109400,55,Greed,09-03-2019
1552195800,55,Greed,10-03-2019
1552282200,56,Greed,11-03-2019
1552368600,56,Greed,12-03-2019
1552455000,54,Neutral,13-03-2019
1552541400,55,Greed,14-03-2019
1552627800,55,Greed,15-03-2019
1552714200,54,Neutral,16-03-2019
1552800600,58,Greed,17-03-2019
1552887000,56,Greed,18-03-2019
1552973400,56,Greed,19-03-2019
1553059800,55,Greed,20-03-2019
1553146200,62,Greed,21-03-2019
1553232600,56,Greed,22-03-2019
1553319000,50,Neutral,23-03-2019
1553405400,44,Fear,24-03-2019
1553491800,46,Neutral,25-03-2019
1553578200,43,Fear,26-03-2019
1553664600,44,Fear,27-03-2019
1553751000,49,Neutral,28-03-2019
1553837400,50,Neutral,29-03-2019
1553923800,57,Greed,30-03-2019
1554010200,56,Greed,31-03-2019
1554096600,62,Greed,01-04-2019
1554183000,60,Greed,02-04-2019
1554269400,71,Greed,03-04-2019
1554355800,61,Greed,04-04-2019
1554442200,59,Greed,05-04-2019
1554528600,65,Greed,06-04-2019
1554615000,69,Greed,07-04-2019
1554701400,65,Greed,08-04-2019
1554787800,64,Greed,09-04-2019
1554874200,62,Greed,10-04-2019
1554960600,65,Greed,11-04-2019
1555047000,42,Fear,12-04-2019
1555133400,62,Greed,13-04-2019
1555219800,51,Neutral,14-04-2019
1555306200,60,Greed,15-04-2019
1555392600,50,Neutral,16-04-2019
1555479000,61,Greed,17-04-2019
1555565400,64,Greed,18-04-2019
1555651800,61,Greed,19-04-2019
1555738200,62,Greed,20-04-2019
1555824600,62,Greed,21-04-2019
1555911000,61,Greed,22-04-2019
1555997400,68,Greed,23-04-2019
1556083800,65,Greed,24-04-2019
1556170200,58,Greed,25-04-2019
1556256600,41,Fear,26-04-2019
1556343000,42,Fear,27-04-2019
1556429400,40,Fear,28-04-2019
1556515800,42,Fear,29-04-2019
1556602200,42,Fear,30-04-2019
1556688600,51,Neutral,01-05-2019
1556775000,50,Neutral,02-05-2019
1556861400,63,Greed,03-05-2019
1556947800,66,Greed,04-05-2019
1557034200,67,Greed,05-05-2019
1557120600,57,Greed,06-05-2019
1557207000,69,Greed,07-05-2019
1557293400,63,Greed,08-05-2019
1557379800,69,Greed,09-05-2019
1557466200,71,Greed,10-05-2019
1557552600,76,Extreme Greed,11-05-2019
1557639000,75,Extreme Greed,12-05-2019
1557725400,78,Extreme Greed,13-05-2019
1557811800,78,Extreme Greed,14-05-2019
1557898200,77,Extreme Greed,15-05-2019
1557984600,75,Extreme Greed,16-05-2019
1558071000,65,Greed,17-05-2019
1558157400,67,Greed,18-05-2019
1558243800,70,Greed,19-05-2019
1558330200,73,Greed,20-05-2019
1558416600,68,Greed,21-05-2019
1558503000,69,Greed,22-05-2019
1558589400,65,Greed,23-05-2019
1558675800,64,Greed,24-05-2019
1558762200,69,Greed,25-05-2019
1558848600,67,Greed,26-05-2019
1558935000,70,Greed,27-05-2019
1559021400,71,Greed,28-05-2019
1559107800,71,Greed,29-05-2019
1559194200,73,Greed,30-05-2019
1559280600,61,Greed,31-05-2019
1559367000,62,Greed,01-06-2019
1559453400,63,Greed,02-06-2019
1559539800,66,Greed,03-06-2019
1559626200,42,Fear,04-06-2019
1559712600,27,Fear,05-06-2019
1559799000,34,Fear,06-06-2019
1559885400,27,Fear,07-06-2019
1559971800,62,Greed,08-06-2019
1560058200,62,Greed,09-06-2019
1560144600,46,Neutral,10-06-2019
1560231000,61,Greed,11-06-2019
1560317400,60,Greed,12-06-2019
1560403800,63,Greed,13-06-2019
1560490200,67,Greed,14-06-2019
1560576600,75,Extreme Greed,15-06-2019
1560663000,80,Extreme Greed,16-06-2019
1560749400,84,Extreme Greed,17-06-2019
1560835800,83,Extreme Greed,18-06-2019
1560922200,82,Extreme Greed,19-06-2019
1561008600,81,Extreme Greed,20-06-2019
1561095000,84,Extreme Greed,21-06-2019
1561181400,83,Extreme Greed,22-06-2019
1561267800,84,Extreme Greed,23-06-2019
1561354200,80,Extreme Greed,24-06-2019
1561440600,87,Extreme Greed,25-06-2019
1561527000,95,Extreme Greed,26-06-2019
1561613400,92,Extreme Greed,27-06-2019
1561699800,62,Greed,28-06-2019
1561786200,74,Greed,29-06-2019
1561872600,78,Extreme Greed,30-06-2019
1561959000,65,Greed,01-07-2019
1562045400,63,Greed,02-07-2019
1562131800,79,Extreme Greed,03-07-2019
1562218200,76,Extreme Greed,04-07-2019
1562304600,67,Greed,05-07-2019
1562391000,72,Greed,06-07-2019
1562477400,67,Greed,07-07-2019
1562563800,74,Greed,08-07-2019
1562650200,84,Extreme Greed,09-07-2019
1562736600,83,Extreme Greed,10-07-2019
1562823000,62,Greed,11-07-2019
1562909400,33,Fear,12-07-2019
1562995800,65,Greed,13-07-2019
1563082200,61,Greed,14-07-2019
1563168600,16,Extreme Fear,15-07-2019
1563255000,34,Fear,16-07-2019
1563341400,19,Extreme Fear,17-07-2019
1563427800,40,Fear,18-07-2019
1563514200,42,Fear,19-07-2019
1563600600,34,Fear,20-07-2019
1563687000,42,Fear,21-07-2019
1563773400,42,Fear,22-07-2019
1563859800,40,Fear,23-07-2019
1563946200,20,Extreme Fear,24-07-2019
1564032600,42,Fear,25-07-2019
1564119000,24,Extreme Fear,26-07-2019
1564205400,47,Neutral,27-07-2019
1564291800,16,Extreme Fear,28-07-2019
1564378200,19,Extreme Fear,29-07-2019
1564464600,22,Extreme Fear,30-07-2019
1564551000,31,Fear,31-07-2019
1564637400,57,Greed,01-08-2019
1564723800,61,Greed,02-08-2019
1564810200,61,Greed,03-08-2019
1564896600,62,Greed,04-08-2019
1564983000,64,Greed,05-08-2019
1565069400,66,Greed,06-08-2019
1565155800,45,Neutral,07-08-2019
1565242200,61,Greed,08-08-2019
1565328600,60,Greed,09-08-2019
1565415000,59,Greed,10-08-2019
1565501400,45,Neutral,11-08-2019
1565587800,48,Neutral,12-08-2019
1565674200,45,Neutral,13-08-2019
1565760600,11,Extreme Fear,14-08-2019
1565847000,13,Extreme Fear,15-08-2019
1565933400,31,Fear,16-08-2019
1566019800,20,Extreme Fear,17-08-2019
1566106200,14,Extreme Fear,18-08-2019
1566192600,30,Fear,19-08-2019
1566279000,39,Fear,20-08-2019
1566365400,11,Extreme Fear,21-08-2019
1566451800,5,Extreme Fear,22-08-2019
1566538200,33,Fear,23-08-2019
1566624600,39,Fear,24-08-2019
1566711000,33,Fear,25-08-2019
1566797400,41,Fear,26-08-2019
1566883800,30,Fear,27-08-2019
1566970200,32,Fear,28-08-2019
1567056600,20,Extreme Fear,29-08-2019
1567143000,24,Extreme Fear,30-08-2019
1567229400,20,Extreme Fear,31-08-2019
1567315800,24,Extreme Fear,01-09-2019
1567402200,28,Fear,02-09-2019
1567488600,41,Fear,03-09-2019
1567575000,43,Fear,04-09-2019
1567661400,41,Fear,05-09-2019
1567747800,43,Fear,06-09-2019
1567834200,39,Fear,07-09-2019
1567920600,43,Fear,08-09-2019
1568007000,41,Fear,09-09-2019
1568093400,41,Fear,10-09-2019
1568179800,38,Fear,11-09-2019
1568266200,39,Fear,12-09-2019
1568352600,38,Fear,13-09-2019
1568439000,39,Fear,14-09-2019
1568525400,38,Fear,15-09-2019
1568611800,38,Fear,16-09-2019
1568698200,41,Fear,17-09-2019
1568784600,38,Fear,18-09-2019
1568871000,31,Fear,19-09-2019
1568957400,41,Fear,20-09-2019
1569043800,37,Fear,21-09-2019
1569130200,37,Fear,22-09-2019
1569216600,41,Fear,23-09-2019
1569303000,39,Fear,24-09-2019
1569389400,15,Extreme Fear,25-09-2019
1569475800,12,Extreme Fear,26-09-2019
1569562200,24,Extreme Fear,27-09-2019
1569648600,32,Fear,28-09-2019
1569735000,33,Fear,29-09-2019
1569821400,27,Fear,30-09-2019
1569907800,38,Fear,01-10-2019
1569994200,39,Fear,02-10-2019
1570080600,37,Fear,03-10-2019
1570167000,30,Fear,04-10-2019
1570253400,31,Fear,05-10-2019
1570339800,32,Fear,06-10-2019
1570426200,27,Fear,07-10-2019
1570512600,39,Fear,08-10-2019
1570599000,37,Fear,09-10-2019
1570685400,41,Fear,10-10-2019
1570771800,39,Fear,11-10-2019
1570858200,38,Fear,12-10-2019
1570944600,38,Fear,13-10-2019
1571031000,37,Fear,14-10-2019
1571117400,39,Fear,15-10-2019
1571203800,40,Fear,16-10-2019
1571290200,40,Fear,17-10-2019
1571376600,40,Fear,18-10-2019
1571463000,41,Fear,19-10-2019
1571549400,37,Fear,20-10-2019
1571635800,37,Fear,21-10-2019
1571722200,39,Fear,22-10-2019
1571808600,33,Fear,23-10-2019
1571895000,20,Extreme Fear,24-10-2019
1571981400,24,Extreme Fear,25-10-2019
1572067800,53,Neutral,26-10-2019
1572154200,50,Neutral,27-10-2019
1572240600,52,Neutral,28-10-2019
1572327000,54,Neutral,29-10-2019
1572413400,53,Neutral,30-10-2019
1572499800,50,Neutral,31-10-2019
1572586200,49,Neutral,01-11-2019
1572672600,51,Neutral,02-11-2019
1572759000,56,Greed,03-11-2019
1572845400,49,Neutral,04-11-2019
1572931800,54,Neutral,05-11-2019
1573018200,53,Neutral,06-11-2019
1573104600,54,Neutral,07-11-2019
1573191000,42,Fear,08-11-2019
1573277400,38,Fear,09-11-2019
1573363800,39,Fear,10-11-2019
1573450200,40,Fear,11-11-2019
1573536600,39,Fear,12-11-2019
1573623000,38,Fear,13-11-2019
1573709400,41,Fear,14-11-2019
1573795800,38,Fear,15-11-2019
1573882200,41,Fear,16-11-2019
1573968600,38,Fear,17-11-2019
1574055000,38,Fear,18-11-2019
1574141400,32,Fear,19-11-2019
1574227800,32,Fear,20-11-2019
1574314200,30,Fear,21-11-2019
1574400600,20,Extreme Fear,22-11-2019
1574487000,23,Extreme Fear,23-11-2019
1574573400,21,Extreme Fear,24-11-2019
1574659800,17,Extreme Fear,25-11-2019
1574746200,21,Extreme Fear,26-11-2019
1574832600,20,Extreme Fear,27-11-2019
1574919000,32,Fear,28-11-2019
1575005400,31,Fear,29-11-2019
1575091800,38,Fear,30-11-2019
1575178200,25,Fear,01-12-2019
1575264600,28,Fear,02-12-2019
1575351000,28,Fear,03-12-2019
1575437400,24,Extreme Fear,04-12-2019
1575523800,21,Extreme Fear,05-12-2019
1575610200,29,Fear,06-12-2019
1575696600,32,Fear,07-12-2019
1575783000,28,Fear,08-12-2019
1575869400,32,Fear,09-12-2019
1575955800,26,Fear,10-12-2019
1576042200,20,Extreme Fear,11-12-2019
1576128600,23,Extreme Fear,12-12-2019
1576215000,22,Extreme Fear,13-12-2019
1576301400,27,Fear,14-12-2019
1576387800,21,Extreme Fear,15-12-2019
1576474200,24,Extreme Fear,16-12-2019
1576560600,23,Extreme Fear,17-12-2019
1576647000,15,Extreme Fear,18-12-2019
1576733400,21,Extreme Fear,19-12-2019
1576819800,23,Extreme Fear,20-12-2019
1576906200,23,Extreme Fear,21-12-2019
1576992600,20,Extreme Fear,22-12-2019
1577079000,33,Fear,23-12-2019
1577165400,25,Fear,24-12-2019
1577251800,22,Extreme Fear,25-12-2019
1577338200,39,Fear,26-12-2019
1577424600,38,Fear,27-12-2019
1577511000,37,Fear,28-12-2019
1577597400,37,Fear,29-12-2019
1577683800,40,Fear,30-12-2019
1577770200,38,Fear,31-12-2019
1577856600,37,Fear,01-01-2020
1577943000,39,Fear,02-01-2020
1578029400,38,Fear,03-01-2020
1578115800,38,Fear,04-01-2020
1578202200,39,Fear,05-01-2020
1578288600,41,Fear,06-01-2020
1578375000,40,Fear,07-01-2020
1578461400,51,Neutral,08-01-2020
1578547800,44,Fear,09-01-2020
1578634200,41,Fear,10-01-2020
1578720600,50,Neutral,11-01-2020
1578807000,45,Neutral,12-01-2020
1578893400,49,Neutral,13-01-2020
1578979800,56,Greed,14-01-2020
1579066200,54,Neutral,15-01-2020
1579152600,55,Greed,16-01-2020
1579239000,54,Neutral,17-01-2020
1579325400,51,Neutral,18-01-2020
1579411800,53,Neutral,19-01-2020
1579498200,48,Neutral,20-01-2020
1579584600,49,Neutral,21-01-2020
1579671000,52,Neutral,22-01-2020
1579757400,49,Neutral,23-01-2020
1579843800,40,Fear,24-01-2020
1579930200,41,Fear,25-01-2020
1580016600,42,Fear,26-01-2020
1580103000,50,Neutral,27-01-2020
1580189400,54,Neutral,28-01-2020
1580275800,57,Greed,29-01-2020
